"","x"
"1","?Dipodomys sp"
"2","?Mephitis mephitis"
"3","?Microtus sp"
"4","?Mustela frenata"
"5","?Neotamias/Tamias sp"
"6","?Neotoma sp"
"7","?Otospermophilus beecheyi"
"8","?Peromyscus sp"
"9","?Sorex sp"
"10","?Spilogale gracilis"
"11","?Sylvilagus sp"
"12","?Thomomys sp"
"13","Aves-NA"
"14","Canis cf dirus"
"15","Canis cf latrans"
"16","Canis dirus"
"17","Canis latrans"
"18","Canis sp"
"19","Capromeryx minor"
"20","cf Microtus sp"
"21","cf Onychomys torridus"
"22","cf Peromyscus cf californicus"
"23","cf Peromyscus maniculatus"
"24","cf Peromyscus sp"
"25","cf Reithrodontomys megalotis"
"26","cf Spilogale gracilis"
"27","cf Taxidea taxus"
"28","Dipodomys sp"
"29","Insecta-Hymenoptera"
"30","Mammalia-??"
"31","Mammalia-???"
"32","Mammalia-?Carnivora"
"33","Mammalia-?Eulipotyphla"
"34","Mammalia-?Lagomorpha"
"35","Mammalia-?Rodentia"
"36","Mammalia-Artiodactyla"
"37","Mammalia-Carnivora"
"38","Mammalia-cf Carnivora"
"39","Mammalia-cf Rodentia"
"40","Mammalia-Eulipotyphla"
"41","Mammalia-Lagomorpha"
"42","Mammalia-Lagomorpha/Rodentia"
"43","Mammalia-Misc"
"44","Mammalia-NA"
"45","Mammalia-Rodentia"
"46","Mammalia-Rodentia/Lagomorpha"
"47","Mephitis mephitis"
"48","Microtus californicus"
"49","Microtus sp"
"50","Mustela frenata"
"51","NA-NA"
"52","Neotamias/Tamias sp"
"53","Neotoma macrotis"
"54","Neotoma sp"
"55","Neotomais/Tamias sp"
"56","Otospermophilus ?beecheyi"
"57","Otospermophilus beecheyi"
"58","Otospermophilus cf beecheyi"
"59","Peromyscus cf californicus"
"60","Peromyscus cf maniculatus"
"61","Peromyscus cf P. maniculatus"
"62","Peromyscus sp"
"63","Scapanus cf latimanus"
"64","Sorex sp"
"65","Spermophilus sp"
"66","Spilogale gracilis"
"67","Sylvilagus ?audubonii"
"68","Sylvilagus audubonii"
"69","Sylvilagus bachmani"
"70","Sylvilagus cf audubonii"
"71","Sylvilagus cf bachmani"
"72","Sylvilagus cf S. audubonii"
"73","Sylvilagus sp"
"74","Tamias/Neotamias sp"
"75","Taxidea taxus"
"76","Thomomys ?bottae"
"77","Thomomys sp"
"78","Urocyon cinereoargenteus"
"79","Vertebrata-NA"
"80","Vertebrata cf Mammalia-NA"
